mean	sd	2.5%	97.5%	Rhat	n.eff
theta[3,2]	-0.2225	0.6474	-1.4471	1.1541	1.001	27000
theta[4,2]	-0.4894	0.4781	-1.476	0.4178	1.001	22000
theta[5,2]	0.3763	0.6475	-0.7976	1.7606	1.001	19000
theta[6,2]	-0.3981	0.6213	-1.51	1.0049	1.001	27000
theta[7,2]	-0.4543	0.5787	-1.5405	0.7947	1.0012	8800
theta[8,2]	-0.4251	0.7954	-2.0754	1.1472	1.001	27000
theta[9,2]	0.8342	0.5277	-0.1703	1.9043	1.001	27000
theta[10,2]	-0.8531	0.7131	-2.4561	0.3672	1.0013	6100
theta[11,2]	-0.3994	0.5609	-1.5116	0.6945	1.001	27000
theta[9,3]	-0.0656	0.4729	-0.9909	0.85	1.001	20000
theta[10,3]	-1.1716	0.6267	-2.4827	-0.0051	1.0011	10000
theta[11,3]	-1.2798	0.5901	-2.5246	-0.2068	1.0013	5600
theta[1,2]	-2.0777	0.6424	-3.4415	-0.8927	1.001	25000
theta[2,2]	0.2341	0.1884	-0.1408	0.6019	1.0009	27000
theta[3,2]	0.2827	0.2009	-0.1093	0.6816	1.001	24000
theta[4,2]	1.8461	0.4946	0.8969	2.8507	1.0012	9300
theta[4,3]	1.4745	0.4623	0.5648	2.3784	1.001	27000
theta[1,2]	-1.2424	0.2302	-1.6823	-0.7712	1.0011	18000
theta[2,2]	-0.1841	0.4901	-1.0889	0.7974	1.0011	12000
theta[3,2]	-0.8377	0.5125	-1.8856	0.1903	1.001	27000
theta[4,2]	-0.346	0.5045	-1.358	0.6262	1.0011	17000
theta[4,3]	-2.0186	0.4171	-2.878	-1.2321	1.0012	8700
theta[1,2]	-1.0482	0.3165	-1.7213	-0.4663	1.0015	3300
theta[2,2]	-1.0061	0.3063	-1.6254	-0.4094	1.0011	18000
theta[3,2]	0.3527	0.2184	-0.103	0.7504	1.0009	27000
theta[4,2]	0.6529	0.2988	0.0936	1.3012	1.001	19000
theta[5,2]	0.5355	0.2119	0.1232	0.968	1.001	27000
theta[6,2]	-0.286	0.2894	-0.8307	0.3147	1.001	27000
theta[7,2]	0.2406	0.2215	-0.2259	0.6554	1.001	27000
theta[8,2]	0.6257	0.2625	0.1112	1.1615	1.001	27000
theta[9,2]	0.6092	0.3393	-0.0524	1.3251	1.0011	12000
theta[10,2]	-0.2173	0.3741	-0.9761	0.5917	1.0027	1100
theta[11,2]	-0.2402	0.1054	-0.4487	-0.0331	1.0011	13000
theta[12,2]	-0.8369	0.2554	-1.3582	-0.3346	1.0013	5900
theta[13,2]	0.5654	0.2718	0.0076	1.0963	1.001	27000
theta[14,2]	0.4858	0.2727	-0.1022	1.003	1.0011	14000
theta[15,2]	0.8049	0.3037	0.2982	1.4971	1.0011	11000
theta[16,2]	0.3601	0.3729	-0.4341	1.1195	1.0013	6600
theta[13,3]	-0.3239	0.2726	-0.8479	0.2262	1.001	27000
theta[14,3]	-0.4499	0.2483	-0.9484	0.036	1.0011	11000
theta[15,3]	-0.3351	0.2912	-0.9041	0.2588	1.001	27000
theta[16,3]	-0.0116	0.3348	-0.6676	0.7221	1.0018	7000
theta[1,2]	0.4626	0.2944	-0.1166	1.0513	1.0011	16000
theta[2,2]	0.9588	0.262	0.4572	1.5057	1.0013	4900
theta[3,2]	1.0568	0.3023	0.4488	1.6358	1.0015	3800
theta[4,2]	1.5275	0.4513	0.713	2.5076	1.001	27000
theta[5,2]	0.5283	0.3125	-0.0546	1.1789	1.001	27000
theta[6,2]	1.5644	0.6096	0.3564	2.7542	1.001	27000
theta[7,2]	0.7826	0.3179	0.159	1.4041	1.0027	1200
theta[8,2]	1.1988	0.4169	0.3904	2.0282	1.0025	1300
theta[9,2]	0.3684	0.5426	-0.6858	1.4303	1.001	27000
theta[10,2]	0.8559	0.3412	0.2187	1.5684	1.0017	2600
theta[11,2]	0.7138	1.1767	-1.4399	3.1149	1.0054	460
