mean	sd	2.5%	97.5%
delta[2,2]	0.9836	0.248	0.5082	1.4807
delta[3,2]	-0.2101	0.2621	-0.7326	0.3001
delta[4,2]	0.8376	0.2732	0.291	1.3628
delta[5,2]	-0.2644	0.1862	-0.6267	0.1029
delta[1,2]	-3.221	0.8488	-4.9004	-1.5911
delta[2,2]	-1.9742	0.825	-3.6103	-0.3933
delta[3,2]	-2.2123	0.9868	-4.1619	-0.253
delta[4,2]	-2.5547	0.6027	-3.7333	-1.3744
delta[5,2]	-0.7328	0.1358	-0.9991	-0.4655
delta[6,2]	-1.1172	1.5485	-4.1621	1.8936
delta[7,2]	0.4808	0.9631	-1.3652	2.4631
delta[8,2]	-0.7397	0.3541	-1.4389	-0.051
delta[9,2]	0.6625	0.8303	-0.9367	2.3531
delta[10,2]	0.1563	0.4603	-0.7491	1.0564
delta[11,2]	0.4285	0.4338	-0.4183	1.2861
delta[12,2]	-0.2821	0.7298	-1.7121	1.1539
delta[13,2]	0.0063	0.8826	-1.7792	1.7325
delta[14,2]	0.7025	0.5348	-0.3241	1.772
delta[15,2]	-0.4063	0.5127	-1.4202	0.5731
delta[16,2]	0.0741	0.4764	-0.8583	1.0177
delta[1,2]	0.0959	0.2134	-0.3224	0.5164
delta[2,2]	0.0918	0.2113	-0.3232	0.5082
delta[3,2]	-0.1895	0.1879	-0.5768	0.1623
delta[4,2]	-0.0329	0.1816	-0.3782	0.3394
delta[5,2]	-0.1862	0.1772	-0.536	0.1617
delta[6,2]	-0.119	0.1231	-0.3608	0.1211
delta[1,2]	-0.4214	0.3345	-1.0933	0.2674
delta[2,2]	-0.582	0.3563	-1.3841	0.0424
delta[3,2]	-0.441	0.2454	-0.9236	0.0374
delta[4,2]	-0.4587	0.3077	-1.09	0.1502
delta[5,2]	-0.375	0.2191	-0.7983	0.0592
delta[6,2]	-0.2402	0.4689	-1.2302	0.6321
delta[7,2]	-0.08	0.3492	-0.765	0.6013
delta[8,2]	-1.4002	0.5265	-2.44	-0.3724
delta[9,2]	-1.4651	0.5035	-2.4583	-0.4845
delta[10,2]	-1.2986	0.568	-2.3914	-0.1445
delta[11,2]	-2.8067	0.8482	-4.4778	-1.1601
delta[12,2]	0.5989	0.4812	-0.2888	1.6105
delta[13,2]	0.569	0.3528	-0.1229	1.259
delta[14,2]	0.5728	0.4662	-0.3194	1.5211
delta[15,2]	0.9255	0.7242	-0.4831	2.3376
delta[16,2]	1.2636	0.8565	-0.4089	2.9382
delta[17,2]	-1.754	0.8416	-3.3807	-0.0853
delta[18,2]	0.7748	0.961	-1.1168	2.6631
delta[19,2]	2.3131	0.8105	0.7372	3.8961
delta[19,3]	0.3312	0.4484	-0.6274	1.146
delta[1,2]	0.1015	0.2093	-0.3285	0.5116
delta[2,2]	0.2645	0.2216	-0.1432	0.7425
delta[3,2]	0.1232	0.2	-0.287	0.5157
delta[4,2]	0.1543	0.2047	-0.2536	0.568
delta[5,2]	0.1753	0.2184	-0.2537	0.6217
